JobTitle	BasePay	OvertimePay	OtherPay	Benefits	TotalPay	TotalPayBenefits	Year	Status
Registered Nurse	9680	51094	74972	69045	128115.82	165611.02	2014	PT
Manager II	10990	3	7	86545	116420.05	165609.96	2014	FT
Police Officer 2	11099	50896	56176	71656	127238.4	165601.64	2014	FT
IS Business Analyst-Principal	14890	3	7	76613	125054.43	165559.6	2014	FT
Firefighter	5686	15448	15123	76611	125019.73	165524.2	2014	FT
Manager I	11787	3	7	85552	117779.71	165512.46	2014	FT
Deputy Sheriff	104634	20898	15903	65294	129189.38	165490.07	2014	FT
Firefighter	105545	12672	14357	77245	124634.64	165472.91	2014	FT
Police Officer	8228	63979	68833	68877	128018.92	165459.83	2014	FT
Sheriff's Sergeant	9341	26762	4338	75988	125287.13	165419.84	2014	FT
Police Officer 3	57793	53038	80011	10493	147883.19	165416.17	2014	PT
Sr Statnry Eng, Wtr Treat Plnt	107769	10205	16683	71520	127077.57	165409.43	2014	FT
IS Business Analyst-Principal	14819	3	7	76671	124862.61	165399.88	2014	FT
IS Engineer-Journey	10865	3	81452	75526	125447.76	165385.05	2014	FT
Project Manager 1	14459	3	7	78560	123873.01	165376.28	2014	FT
Manager I	11184	3	7	86188	116696.38	165364.64	2014	FT
Registered Nurse	9775	38204	67220	76987	124653.07	165361.72	2014	PT
Transit Supervisor	102424	27893	7890	65831	128857.16	165336.77	2014	FT
Deputy Sheriff	105515	29653	69363	65567	128932.99	165323.7	2014	FT
Police Officer	8226	158	62441	68876	127877.31	165318.21	2014	FT
Police Officer 3	11670	44723	53081	72614	126623.05	165304.02	2014	FT
Police Officer 2	5834	7171	59977	71663	126927.87	165292.6	2014	FT
Police Officer 3	12313	50866	21444	73120	126445.92	165286.79	2014	FT
Police Officer 3	11132	57963	42360	70481	127276.43	165261.34	2014	FT
Police Officer 3	12308	64330	65060	74421	125888.52	165225.65	2014	FT
Registered Nurse	8908	2093	71152	57455	130932.39	165210.41	2014	PT
Deputy Sheriff	104528	22999	11186	65502	128815.69	165186.67	2014	FT
Police Officer 3	12309	37704	42519	74408	125808.72	165142.51	2014	FT
Registered Nurse	11781	52554	13850	75195	125375.15	165122.05	2014	FT
Police Officer	8237	3247	51549	68853	127673.77	165106.76	2014	FT
Registered Nurse	5531	48846	17778	62999	129444.49	165088.26	2014	PT
IS Project Director	14732	3	7	76568	124602.61	165088.22	2014	FT
Registered Nurse	14073	37225	41088	78338	123682.45	165064.07	2014	PT
Bldgs & Grounds Maint Supt	10975	12767	69990	76094	124853.81	165053.89	2014	FT
Registered Nurse	8166	1836	73161	59744	130262.06	165053.72	2014	PT
IS Business Analyst-Principal	14665	3	27166	76555	124569.34	165045.57	2014	FT
Automotive Mechanic	92163	36374	17209	63463	129242.18	165022.05	2014	FT
Registered Nurse	13202	3	23370	79643	122793.57	165006.36	2014	FT
Registered Nurse	11138	5245	68964	76610	124484.02	164987.72	2014	PT
Assoc Engineer	5584	36936	20006	65481	128604.06	164967.2	2014	FT
Electrical Transit System Mech	95366	41594	73503	53713	131552.16	164949.81	2014	FT
Police Officer	8226	2295	53123	68876	127491.4	164932.3	2014	FT
Public Health Nurse	12346	3	53574	78540	123433.26	164925.41	2014	PT
Firefighter	137	256	18702	71913	126479.72	164921.02	2014	FT
Airport Operations Supervisor	600	22228	57647	67561	127875.2	164893.14	2014	FT
Special Nurse	18614	49261	31561	8995	163259.8	164892.43	2014	PT
Utility Plumber	108050	33395	41869	61310	129685.86	164873.92	2014	FT
Construction Inspector	108590	32893	7	61844	129520.25	164860.02	2014	FT
Deputy Sheriff	105511	33059	51728	60332	129917.57	164845.16	2014	FT
Police Officer 2	11102	52787	41717	73043	125954.77	164784.99	2014	FT
Registered Nurse	9895	50827	57234	74224	125476.6	164732.3	2014	PT
Deputy Sheriff	105512	26056	82083	64882	128532.45	164704.16	2014	FT
Police Officer 3	12314	42084	36519	73132	125841.49	164684.36	2014	FT
Transit Operator	75106	50946	65102	61913	129324.11	164679.93	2014	FT
Police Officer 2	11099	52192	46198	71625	126308.84	164665.64	2014	FT
Registered Nurse	11172	5088	62229	42198	134320.57	164650.88	2014	PT
Police Officer 3	12312	13709	59655	73122	125807.66	164648.56	2014	FT
Police Officer 3	12308	48643	16097	73085	125789.52	164627.08	2014	FT
Police Officer 3	12320	47330	21489	73156	125760.45	164606.65	2014	FT
Registered Nurse	93124	62895	56508	30611	137097.07	164570.85	2014	PT
EMT/Paramedic/Firefighter	5529	18637	4424	63729	128697.68	164548.03	2014	FT
Deputy Sheriff	105511	28214	72107	65463	128187.31	164541.84	2014	FT
Registered Nurse	2751	47679	16411	75378	124668.57	164531.82	2014	PT
Police Officer 3	8833	58413	54470	74550	125124.99	164526.21	2014	FT
Registered Nurse	2008	56780	12462	76455	124107	164525.69	2014	PT
Police Officer 3	11930	28790	52899	74098	125299.95	164491.9	2014	FT
IS Engineer-Senior	14680	3	7	75741	124464.87	164472.07	2014	FT
Manager I	9820	3	38210	85042	117406.74	164459.3	2014	FT
Deputy Sheriff	105269	26684	82132	63013	128803.11	164451.44	2014	FT
Utility Plumber	108052	21724	751	61346	129239.64	164436.44	2014	FT
Police Officer 3	12324	20397	54406	73106	125562.21	164401.89	2014	FT
Registered Nurse	10386	40948	52910	76378	124027.67	164396.85	2014	PT
Transit Power Cable Splicer	3369	19266	34014	67865	127263.3	164369.24	2014	FT
Police Officer 3	12314	26416	50217	73121	125511.04	164351.93	2014	FT
Deputy Sheriff	105002	21125	10855	65750	127887.8	164341.53	2014	FT
Police Officer 3	11763	52255	20429	72905	125536.3	164324.94	2014	FT
Prnpl Admin Analyst II	14498	3	7	76342	123968.72	164316.89	2014	FT
Police Officer 3	12429	27107	46648	73346	125382.2	164290.19	2014	FT
Manager IV	12815	3	7	82326	120096.05	164278.43	2014	FT
Police Officer 2	8981	49498	73560	70520	126275.4	164274.6	2014	FT
Registered Nurse	8085	63050	49362	74628	124833.88	164271.14	2014	PT
Power Generation Technician 2	109028	9069	16935	64216	128278.35	164268.42	2014	FT
Protective Services Supervisor	4365	16887	38512	66629	127546.17	164257.12	2014	FT
Attorney (Civil/Criminal)	11688	3	60829	78133	122962.21	164245.96	2014	FT
Manager I	10924	3	7	85682	116300.97	164226.17	2014	FT
Planner 4	14463	3	7	76279	123885.38	164198.29	2014	FT
Registered Nurse	9392	50827	55253	75106	124500.85	164194.88	2014	PT
Track Maint Wrk Sprv 1	93532	39928	3483	54684	130561.22	164179.79	2014	FT
Registered Nurse	6836	6119	62505	63923	128252.21	164154.75	2014	PT
Registered Nurse	13420	3	3323	78630	122597.08	164152.28	2014	FT
Construction Inspector	108589	17924	5689	61845	128790.35	164130.13	2014	FT
Manager IV, MTA	10341	3	7	86199	115422.58	164109.9	2014	FT
Registered Nurse	1797	62323	19679	64204	128100.07	164088.21	2014	PT
Airport Safety Officer	98759	37437	73130	57382	129827.15	164088.03	2014	FT
Registered Nurse	9285	2160	55150	59854	129264.66	164079.92	2014	PT
Deputy Sheriff	105516	24060	82923	67324	127088.82	164043.99	2014	FT
Electronic Maintenance Tech	109296	23131	60305	66765	127260.34	164013.15	2014	FT
Registered Nurse	474	41858	30173	68983	126531.75	164008.24	2014	PT
Protective Services Supervisor	4367	65298	320	70118	126136.68	163994.72	2014	FT
Deputy Sheriff	105511	24678	82357	66068	127427.42	163978.42	2014	FT
Manager II	12477	3	6434	81581	120428.05	163972.8	2014	FT
Police Officer 3	12318	48578	1650	72580	125300.3	163970.25	2014	FT
Public SafetyComm Disp	100836	38720	45647	55684	130091.89	163952.99	2014	FT
Registered Nurse	4520	36544	17782	70362	125992.33	163931.27	2014	PT
Automotive Mechanic	92158	39875	8768	52745	130752.5	163900.06	2014	FT
Manager I	10712	3	7	85688	115939.36	163872.38	2014	FT
Assoc Engineer	8998	3	5930	73705	124835.67	163858.09	2014	FT
Perf Analyst III Project Mgr	14336	3	7	76185	123576.1	163836.19	2014	FT
Perf Analyst III Project Mgr	14333	3	7	76180	123576.01	163834.1	2014	FT
Police Officer 2	10112	13701	74561	20238	139278.01	163815.19	2014	FT
Director, Juvenile Hall	11739	3	7	84195	117688.8	163771.67	2014	FT
Trans Safety Specialist	7225	64912	55329	73128	124917.43	163758.99	2014	FT
Senior Physical Therapist	13817	3	134	78046	122509.03	163742.94	2014	FT
Registered Nurse	10119	39912	53281	76126	123516.5	163738.09	2014	PT
Manager I	9832	3	8021	85650	115843.77	163723.51	2014	FT
Registered Nurse	7801	6879	70491	49498	131347.4	163697.94	2014	PT
Manager III	12467	3	7	82613	119219.1	163693.31	2014	FT
Mayoral Staff XV	10593	3	7	85645	115805.07	163677.39	2014	FT
Engineer	13535	3	36615	74243	124369.25	163631.99	2014	PT
Maintenance Manager	10550	3	7	85640	115744.01	163603.21	2014	FT
Attorney (Civil/Criminal)	13257	3	8711	78055	122361.01	163597.52	2014	FT
IS Engineer-Journey	7646	40275	2477	69528	125938.28	163595.72	2014	FT
Registered Nurse	9223	40314	63157	76004	123445.53	163591.69	2014	PT
Registered Nurse	7130	63130	59098	73478	124622.52	163581.66	2014	PT
Manager I	10849	3	7	85311	116185.03	163577.15	2014	FT
Registered Nurse	10952	3915	59422	77224	122739.5	163568.36	2014	PT
Transit Supervisor	101693	39664	7537	54772	129924.72	163566.96	2014	FT
Manager II	9522	3	31879	85033	116492.9	163533.56	2014	FT
IS Project Director	13335	3	50961	70696	125470.33	163513.42	2014	PT
Cable Splicer	848	24209	31367	65935	127003.64	163510.78	2014	FT
Automotive Mechanic	92158	30684	29230	60566	128499.12	163495.27	2014	FT
Chf Stationary Eng, Sew Plant	7564	33806	83811	74251	124218	163483.76	2014	FT
Registered Nurse	8336	53073	59064	75088	123792.22	163475.21	2014	PT
Senior Power House Operator	97747	37637	75311	56743	129350.13	163459.48	2014	FT
Police Officer	8228	59822	63638	68803	125966.39	163388.72	2014	FT
Police Officer 3	12323	45593	76794	73027	124555.43	163381.95	2014	FT
Sheriff's Sergeant	9342	6587	82965	72398	124777.61	163380.42	2014	FT
Deputy Sheriff	105511	11933	17115	70932	125224.15	163350.95	2014	FT
Police Officer	8226	5493	16742	68855	125901.85	163336.55	2014	FT
Police Officer 3	12313	37426	26311	73118	124475.57	163316.42	2014	FT
Diagnostic Imaging Tech I	5107	63937	17252	75767	123281.15	163299.74	2014	FT
Nurse Practitioner	13278	3	71964	78366	121885.47	163279.08	2014	PT
Deputy Sheriff	105514	24545	78649	66900	126455.19	163256.98	2014	FT
Police Officer 2	11100	46608	41963	71949	124768.51	163222.82	2014	FT
Automotive Machinist Sprv 1	2874	63266	3314	73748	124177.28	163216.03	2014	FT
Electronic Maintenance Tech	109295	22099	60009	66835	126425.67	163202.08	2014	FT
Registered Nurse	9052	48327	74181	67229	126269.38	163182.32	2014	PT
Manager I	9832	3	8483	85247	115859.19	163181.79	2014	FT
Police Officer	8228	59225	63045	68878	125716.93	163157.85	2014	FT
Senior Physician Specialist	6827	3	19529	66212	126566.7	163155.71	2014	PT
Chf Stationary Eng, Sew Plant	9233	34342	68896	74872	123581.23	163153.69	2014	FT
Protective Services Supervisor	4371	2161	81251	66685	126422.11	163149.08	2014	FT
IS Business Analyst	103385	3	42842	73691	124091.4	163109.02	2014	FT
Registered Nurse	7598	47791	63570	77237	122261.36	163096.32	2014	FT
Registered Nurse	10902	49444	41014	71221	124847.42	163083.05	2014	FT
Chf Stationary Eng, Sew Plant	5895	53495	80145	73710	124043.64	163068.87	2014	FT
Police Officer 2	11099	55897	5696	71631	124672.81	163030.89	2014	FT
Electrl Trnst Mech, Asst Sprv	105996	21784	84032	66771	126261.55	163016.66	2014	FT
Police Officer 3	12311	2177	50844	73117	124148.54	162989.38	2014	FT
Utility Specialist	13993	3	7	75956	122868.03	162980.25	2014	FT
Utility Specialist	13997	3	7	75943	122868.08	162977	2014	FT
Utility Specialist	13996	3	7	75938	122868.06	162975	2014	FT
Utility Specialist	13992	3	7	75938	122868.02	162974.96	2014	FT
Utility Specialist	13991	3	7	75938	122868.01	162974.95	2014	FT
Utility Specialist	13991	3	7	75938	122868.01	162974.95	2014	FT
Supervising Purchaser	14003	3	7	75897	122870.57	162963.94	2014	FT
Registered Nurse	3654	29874	16739	74169	123728.83	162956.15	2014	PT
Trans Safety Specialist	718	21257	41961	68813	125514.97	162941.23	2014	FT
Police Officer	8226	137	43103	68876	125492.9	162933.8	2014	FT
Manager IV	7586	15547	64081	82216	118848.35	162915.53	2014	FT
Registered Nurse	1223	57786	16826	70763	124849.37	162915.39	2014	PT
Carpenter Supervisor 1	108009	32784	7	57715	128582.07	162914.43	2014	FT
EMT/Paramedic/Firefighter	103497	22865	9819	64439	126840.25	162884.8	2014	FT
Registered Nurse	13158	3	82261	77631	121875.14	162882.25	2014	PT
Registered Nurse	8247	53943	33849	78948	121067.75	162843.6	2014	FT
Police Officer	8227	55952	66619	68856	125384.94	162819.65	2014	FT
Manager I	9832	3	7	85895	114616	162819.14	2014	FT
Deputy Sheriff	105512	20069	9252	62831	127212.44	162813.86	2014	FT
Registered Nurse	10685	54739	78267	46962	131097.21	162810.33	2014	PT
Senior Deputy Sheriff	2966	29483	20498	72624	124105.65	162790.25	2014	FT
Deputy Sheriff	105512	22705	83814	65792	126323.03	162788.62	2014	FT
IS Business Analyst-Principal	13771	36443	74201	75612	122742.31	162738.72	2014	FT
Police Officer 3	12322	30130	25951	73833	123663.96	162732.54	2014	FT
EMT/Paramedic/Firefighter	8700	4509	77525	68625	125324.56	162688.54	2014	FT
Deputy Sheriff	105512	15453	12315	68365	125400.98	162671.32	2014	FT
Police Officer 2	10926	44972	43645	71294	124387.97	162647.68	2014	FT
Registered Nurse	4024	6524	15005	38006	133421.23	162639.68	2014	PT
Transit Supervisor	90622	42447	81980	51186	129872.97	162636.1	2014	FT
Station Agent, Muni Railway	93543	43841	56573	49411	130282.78	162608.89	2014	FT
Bldgs & Grounds Maint Supt	10404	39853	69427	75560	122640.57	162605.11	2014	FT
Deputy Sheriff	105511	24036	77992	66508	125925.33	162600.95	2014	FT
Landscape Architect	13872	3	7	75798	122528	162568.94	2014	FT
Public SafetyComm Disp	100291	37918	50087	55102	128840.23	162558.12	2014	FT
Construction Inspector	106139	33107	16883	64000	126626.59	162552.3	2014	FT
Clinical Pharmacist	14211	54951	11810	68286	125303.49	162547.2	2014	PT
Registered Nurse	8015	46299	70754	72805	123783.01	162534.13	2014	PT
Manager I	9833	3	7	85677	114616.01	162531.51	2014	FT
Senior Occupational Therapist	13818	3	134	75746	122509.05	162517.87	2014	FT
Senior Physical Therapist	13856	3	7	75776	122468.28	162492.16	2014	FT
Registered Nurse	3976	24706	15800	73879	123372.03	162458.3	2014	PT
Maintenance Scheduler	87120	48033	59759	44808	131375.84	162448.7	2014	FT
Senior Physical Therapist	13389	3	7	77624	121433.38	162437.14	2014	FT
Electronic Maintenance Tech	2850	57485	2491	76052	122254.95	162431.15	2014	FT
IS Business Analyst-Principal	10250	3	65612	77632	121410.73	162418.74	2014	FT
Chief Surveyor	13819	3	7	75747	122409.07	162417.9	2014	FT
Chief Surveyor	13816	3	7	75745	122409	162417.8	2014	FT
Project Manager 1	13373	3	7	77627	121388.01	162392.72	2014	FT
Manager III	11736	3	7	82862	117679.64	162370.27	2014	FT
Pr Administrative Analyst	12794	3	32658	75616	122351.17	162349.62	2014	FT
Police Officer 3	12308	3	50392	74421	123006	162343.13	2014	FT
Engineer	13769	3	7	75734	122311.24	162312.73	2014	FT
Transit Supervisor	98184	41431	36985	49923	129844.03	162292.2	2014	FT
Deputy Sheriff	105513	16816	8584	68627	124899.01	162264.69	2014	FT
Manager I	9840	3	7	85472	114616.09	162234.44	2014	FT
Manager I	9838	3	7	85473	114616.06	162234.42	2014	FT
Manager I	9837	3	7	85470	114616.05	162234.38	2014	FT
Manager I	9834	3	7	85470	114616.02	162234.35	2014	FT
Manager I	9832	3	7	85470	114616	162234.33	2014	FT
Manager I	9832	3	7	85469	114616	162234.32	2014	FT
Police Officer	8229	11325	5126	18472	138664.44	162229.59	2014	FT
Electrician Supervisor 1	3213	21046	43594	64442	126177.83	162222.8	2014	FT
Police Officer 3	6408	58986	67187	72555	123553.54	162214.58	2014	FT
Public SafetyComm Disp	100775	36086	57369	56868	128071.39	162212.3	2014	FT
Registered Nurse	9056	55479	57991	67666	125157.22	162202.51	2014	PT
Manager I	9811	3	7	85460	114574.04	162183.36	2014	FT
Engineer	13711	3	7	75583	122183.06	162157.88	2014	FT
Registered Nurse	5515	762	57225	72774	123410.79	162151.84	2014	PT
Cement Finisher Supervisor 2	106889	33034	7	59903	127325.06	162149.82	2014	FT
Dep Dir I	9832	3	7	85368	114616	162101.74	2014	FT
Electrl Trnst Mech, Asst Sprv	98739	35944	72309	57278	127856.82	162092.11	2014	FT
Senior Physical Therapist	13557	3	49487	75435	122193.7	162083.03	2014	FT
Electrical Transit System Mech	86035	51800	7	39035	132591	162082.16	2014	PT
Police Officer 2	11099	52283	917	71631	123718.11	162076.19	2014	FT
Transit Operator	80040	50647	14488	61889	126696.04	162045.59	2014	FT
Registered Nurse	8711	5638	79378	74394	122715.39	162044.25	2014	PT
Stationary Engineer	92252	44540	54920	48375	129980.87	162044.02	2014	FT
Registered Nurse	12703	3	41952	73896	122947.71	162039.4	2014	PT
Electrical Transit System Mech	94767	40076	73247	53137	128724.34	161981.25	2014	FT
Manager I	9833	3	7	85259	114616.01	161953.66	2014	FT
Communications Systems Tech	5333	10948	9759	25364	135651.36	161912.39	2014	FT
Police Officer 3	11953	33076	19366	73180	122978.57	161830.51	2014	FT
Bldg & Grounds Maint Sprv	108230	42651	32569	65955	125310.57	161823.85	2014	FT
Trans and Dist Line Worker	2617	48368	14204	70680	123774.16	161812.55	2014	FT
Electronic Maintenance Tech	3001	19023	361	66553	125077.36	161767.88	2014	FT
Registered Nurse	6787	51827	72681	71557	123387.49	161730.28	2014	PT
Transit Supervisor	100290	38550	35072	54279	128164.72	161692.55	2014	FT
Planner 4	13567	3	7	75421	121801.05	161681.96	2014	FT
Transportation Planner IV	13565	3	7	75420	121801.03	161681.93	2014	FT
Planner 4	13568	3	7	75416	121801.07	161680.01	2014	FT
Planner 4	13565	3	7	75416	121801.03	161679.97	2014	FT
Transportation Planner IV	13563	3	7	75414	121801.01	161679.93	2014	FT
Transportation Planner IV	13564	3	7	75413	121801.02	161679.93	2014	FT
Planner 4	13563	3	7	75414	121801.01	161679.93	2014	FT
Real Estate Devt. Mgr, SFMTA	13562	3	7	75413	121801	161679.91	2014	FT
Planner 4	13564	3	7	75408	121801.02	161676.68	2014	FT
Manager II, MTA	9836	3	7	85049	114616.04	161673.03	2014	FT
Manager I	9835	3	7	85049	114616.03	161673.02	2014	FT
Manager I	9833	3	7	85049	114616.01	161673	2014	FT
Manager I	9833	3	7	85048	114616.01	161672.99	2014	FT
Manager I	9832	3	7	85048	114616	161672.98	2014	FT
Police Officer 2	7276	58210	53682	73333	122752.39	161655.58	2014	FT
Manager I	9821	3	7	85043	114595.27	161647.84	2014	FT
Operating Engineer, Universal	103324	23792	3701	65075	125407.96	161634.88	2014	FT
Public SafetyComm Disp	101037	31411	77648	60558	126620.37	161613.22	2014	FT
IS Engineer-Journey	10867	3	68971	72621	122863.05	161545.86	2014	FT
Assoc Engineer	13372	3	7	75934	121388	161493.6	2014	FT
Building Inspector	6317	64858	56488	69630	123780.91	161473.71	2014	FT
Special Nurse	14274	12914	28367	8550	159865.62	161464.27	2014	PT
IS Business Analyst-Principal	13327	3	44000	75357	121609.93	161456.14	2014	FT
Deputy Sheriff	105511	11186	14019	70038	123625.69	161450.29	2014	FT
Manager III	15181	3	7	62903	125803.72	161422.52	2014	FT
Diagnostic Imaging Tech I	1876	7625	77512	67236	124479.89	161398.67	2014	FT
Police Officer 3	12309	36256	40644	73912	122291.88	161390.12	2014	FT
Deputy Sheriff	104881	9014	20378	68173	124181.65	161386.48	2014	FT
Deputy Sheriff	105511	23030	81011	62658	125817.24	161373.2	2014	FT
Police Officer 3	12318	29606	76956	73100	122522.42	161362.04	2014	FT
Public SafetyComm Disp	100992	33511	67331	58648	126820.14	161354.73	2014	FT
Police Officer 3	12277	8693	32551	73014	122523.99	161346.47	2014	FT
Registered Nurse	106175	58288	28125	72173	122802.08	161325.08	2014	PT
Manager III	11950	3	7	81004	118182.11	161303.45	2014	FT
Station Agent, Muni Railway	93419	45231	28937	46902	129603.68	161302.35	2014	FT
Airport Safety Officer	98758	37750	56120	54935	127604.49	161282.86	2014	FT
Police Officer 3	12308	21936	11571	73114	122414.91	161255.72	2014	FT
Deputy Sheriff	105511	8521	20513	65977	124721.14	161245.15	2014	FT
Attorney (Civil/Criminal)	12447	3	8711	77167	120431.41	161240.83	2014	FT
Sr. Stationary Eng, Sew Plant	108465	15873	77314	67879	124117.2	161227.27	2014	FT
Police Officer 3	12308	27068	81000	73115	122384.75	161225.57	2014	FT
IS Prg Analyst-Principal	9785	3	77267	71518	122875.83	161206.78	2014	FT
Police Officer 3	57794	3	81105	9979	144095.45	161200.9	2014	PT
Chf Stationary Eng, Sew Plant	6720	47427	71941	73281	122310.69	161200.25	2014	FT
Prnpl Admin Analyst II	12838	3	7	77699	120138.57	161184	2014	FT
Project Manager 1	13373	3	7	75268	121388.01	161178.84	2014	FT
Assoc Engineer	13372	3	7	75268	121388	161178.83	2014	FT
Senior Deputy Sheriff	2962	63682	1371	68416	123873.36	161160.24	2014	FT
Automotive Body & Fender Wrk	92321	34757	16656	55304	127382.53	161151.06	2014	FT
Registered Nurse	8718	45275	59122	71902	122710.6	161148.13	2014	PT
Police Officer 3	12309	23496	3947	73115	122290.04	161130.86	2014	FT
Registered Nurse	8328	44245	79975	74666	121666.72	161122.09	2014	PT
Public SafetyComm Disp	100686	32751	72154	58947	126513.69	161119.96	2014	FT
Electrical Transit System Mech	95366	34889	5641	57392	126836.42	161101.22	2014	FT
Firefighter	109641	45154	23346	71761	122689.94	161083.97	2014	FT
Electr Instrmntn Tech Wtr Poll	3440	15085	18283	67907	123962.73	161080.22	2014	FT
Attorney (Civil/Criminal)	12365	3	10567	77065	120285.4	161050.82	2014	FT
Deputy Sheriff	105513	18267	5891	64545	124962.82	161045.69	2014	FT
Transit Operator	75131	49338	63321	61753	125721.09	161032.47	2014	FT
Project Manager 1	10647	3	50733	77646	120017.02	161030.51	2014	FT
Senior Stationary Engineer	104425	24333	81545	61999	125645.36	161025.11	2014	FT
Police Officer 3	12329	18559	11490	73107	122177.9	161017.59	2014	FT
Sr District Atty Investigator	9854	18437	70049	69247	123447.41	161007.74	2014	FT
Automotive Mechanic Asst Sprv	98361	22893	21246	64172	125014.47	160993.75	2014	FT
Chf Stationary Eng, Sew Plant	5870	52446	71278	73729	121959.72	160991.73	2014	FT
Airport Economic Planner	13308	3	7	75211	121230.08	160987.13	2014	FT
Airport Economic Planner	13307	3	7	75210	121230.06	160987.1	2014	FT
Airport Economic Planner	13309	3	7	75205	121230.1	160983.89	2014	FT
Airport Economic Planner	13310	3	7	75203	121230.11	160983.25	2014	FT
Supv Biologist	13305	3	7	75200	121222.23	160974.39	2014	FT
Manager I	9449	3	7	84836	114065.9	160933.08	2014	FT
Police Officer 3	12308	18728	7659	73114	122057.82	160898.63	2014	FT
Police Officer 3	7786	63894	47016	65704	124437.22	160874.35	2014	FT
Registered Nurse	5284	636	60205	68954	123401.76	160867.5	2014	PT
Senior Deputy Sheriff	2961	56759	3458	71673	122480.53	160847.01	2014	FT
Transit Operator	79656	45845	74235	67700	123784.46	160837.12	2014	FT
Registered Nurse	11178	11253	61146	68014	123670.62	160828.74	2014	PT
Electr Maint Tech Asst Sprv	8878	65722	7	70498	122825.31	160818.61	2014	FT
Police Officer 2	11100	40990	21807	71632	122456.22	160814.31	2014	FT
Sheet Metal Supervisor 1	6532	47707	3611	74991	121153.12	160782.68	2014	FT
Lieutenant, Fire Suppression	49247	14610	77274	8679	144700.5	160742.16	2014	PT
Registered Nurse	9864	43004	59110	65794	124275.78	160741.47	2014	FT
Manager II	14054	3	7	69703	122992	160709.23	2014	FT
Prnpl Admin Analyst II	13198	3	7	75155	120982.32	160696.95	2014	FT
Police Officer	8228	47837	63547	68802	123232.34	160654.66	2014	FT
Utility Plumber	108050	10893	10346	61291	125463.34	160647.14	2014	FT
Police Officer	8228	63072	29586	68856	123200.99	160635.7	2014	FT
Deputy Sheriff	103833	15082	14513	66750	123868.2	160615.56	2014	FT
IS Business Analyst-Principal	12995	3	7	75535	120582.02	160528.53	2014	FT
Police Officer	8228	46114	64489	68855	123071.27	160505.97	2014	FT
Deputy Sheriff	105511	21136	77992	66621	123758.53	160468.16	2014	FT
Project Manager 1	12743	3	35927	76576	119885.81	160375.66	2014	FT
Deputy Sheriff	105514	18459	310	67035	123514.89	160359.92	2014	FT
Registered Nurse	10054	51130	64806	54208	126839.07	160351.44	2014	PT
Registered Nurse	8297	37461	55338	75174	120616.87	160350.95	2014	FT
Chief Stationary Engineer	109519	14742	68512	67392	123362.21	160340.45	2014	FT
Registered Nurse	8721	3	70336	76912	119662.75	160339.41	2014	PT
Police Officer 3	12312	15576	77966	73097	121496.96	160336.52	2014	FT
Police Officer	7950	47446	65730	68401	123048.08	160330.02	2014	FT
Registered Nurse	13196	44791	42284	45964	128883	160313.94	2014	PT
Sr Counselor, Juvenile Hall	97869	41275	28309	47025	128573.56	160304.06	2014	FT
Electrical Transit System Mech	95366	38189	73503	53740	126884.58	160286.01	2014	FT
Registered Nurse	4202	35421	7414	72427	121641.2	160256.21	2014	PT
Industrial Hygienist	13009	3	7	74984	120629.47	160255.04	2014	FT
Dist Atty Investigator (SFERS)	2934	919	66550	74222	120983.67	160237.89	2014	FT
Transit Supervisor	99303	39532	22577	50971	127504.64	160214.35	2014	FT
Pr Administrative Analyst	9968	3	61814	75241	120437.39	160210.17	2014	FT
Senior Occupational Therapist	12698	3	71236	76376	119836.17	160204.96	2014	FT
IS Engineer-Senior	12034	3	8945	76773	119593.5	160193.68	2014	FT
Police Officer	103243	30825	54596	61294	124988.2	160172.59	2014	FT
Car and Auto Painter	92322	31893	19763	59325	125464.87	160158.63	2014	FT
Registered Nurse	8330	4405	70133	75238	120378.06	160149.34	2014	PT
Transit Supervisor	103332	34600	7902	58147	125707.48	160133.22	2014	FT
Police Officer 3	11173	38157	9173	71858	121681.39	160100.67	2014	FT
Police Officer	8232	46057	61954	68806	122676.97	160099.34	2014	FT
Power Generation Technician 2	108808	21959	49222	63786	124224.14	160092.71	2014	FT
Attorney (Civil/Criminal)	11958	3	10567	76744	119500	160085.26	2014	FT
Criminalist III	12373	4758	64209	74338	120770.83	160072.54	2014	FT
Firefighter	7560	3	80724	75400	120180.95	160054.83	2014	FT
Pub Safety Communication Coord	2289	60659	76401	76049	119872.81	160048.5	2014	FT
Police Officer 2	296	5845	82714	69501	122395.94	160043.09	2014	FT
Registered Nurse	4749	65156	12453	71365	121755.94	160038.57	2014	PT
Deputy Sheriff	105512	17725	2828	65244	123753.21	160036.72	2014	FT
Electronic Maintenance Tech	3000	47936	4437	74005	120892.59	160029.46	2014	FT
Deputy Sheriff	105511	6605	17595	68567	122672.02	160015.68	2014	FT
IT Operations Support Admin V	7482	3	4132	70134	122123.1	159987.52	2014	FT
EMT/Paramedic/Firefighter	107445	64829	16436	72045	121501.17	159984.17	2014	FT
Public SafetyComm Disp	100851	27600	650	61727	124656.91	159958.39	2014	FT
Electr Maint Tech Asst Sprv	8879	63189	7	70518	121956.34	159954.49	2014	FT
Traffic Signal Electrician	162	22706	71172	66653	123223.17	159938.92	2014	FT
Sr Power Generation Tech	109419	32614	49548	22495	134502.53	159927.72	2014	FT
Senior Building Inspector	12914	3	7	74865	120350	159919.07	2014	FT
Transit Operator	81862	47840	36180	65295	123599.79	159900.64	2014	FT
